UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '6', '13', '23', '2019', '6', '13', '17', '6.08'
'2019', '6', '14', '0', '2019', '6', '13', '18', '0.4312'
'2019', '6', '14', '1', '2019', '6', '13', '19', '0.03'
'2019', '6', '14', '2', '2019', '6', '13', '20', '0.426'
'2019', '6', '14', '3', '2019', '6', '13', '21', '0.0879'
'2019', '6', '14', '4', '2019', '6', '13', '22', '0.0'
'2019', '6', '14', '5', '2019', '6', '13', '23', '0.0'
'2019', '6', '14', '6', '2019', '6', '14', '0', '0.0'
'2019', '6', '14', '7', '2019', '6', '14', '1', '0.0'
'2019', '6', '14', '8', '2019', '6', '14', '2', '0.0'
'2019', '6', '14', '9', '2019', '6', '14', '3', '0.0'
'2019', '6', '14', '10', '2019', '6', '14', '4', '0.0'
'2019', '6', '14', '11', '2019', '6', '14', '5', '0.0207'
'2019', '6', '14', '12', '2019', '6', '14', '6', '0.68'
'2019', '6', '14', '13', '2019', '6', '14', '7', '1.37'
'2019', '6', '14', '14', '2019', '6', '14', '8', '4.658'
'2019', '6', '14', '15', '2019', '6', '14', '9', '5.076'
'2019', '6', '14', '16', '2019', '6', '14', '10', '2.056'
'2019', '6', '14', '17', '2019', '6', '14', '11', '0.78'
'2019', '6', '14', '18', '2019', '6', '14', '12', '5.18'
'2019', '6', '14', '19', '2019', '6', '14', '13', '6.89'
'2019', '6', '14', '20', '2019', '6', '14', '14', '12.972'
'2019', '6', '14', '21', '2019', '6', '14', '15', '11.214'
'2019', '6', '14', '22', '2019', '6', '14', '16', '10.414'
'2019', '6', '14', '23', '2019', '6', '14', '17', '8.352'
'2019', '6', '15', '0', '2019', '6', '14', '18', '4.996'
'2019', '6', '15', '1', '2019', '6', '14', '19', '1.794'
'2019', '6', '15', '2', '2019', '6', '14', '20', '0.454'
'2019', '6', '15', '3', '2019', '6', '14', '21', '0.0705'
'2019', '6', '15', '4', '2019', '6', '14', '22', '0.0'
'2019', '6', '15', '5', '2019', '6', '14', '23', '0.0'
'2019', '6', '15', '6', '2019', '6', '15', '0', '0.0'
'2019', '6', '15', '7', '2019', '6', '15', '1', '0.0'
'2019', '6', '15', '8', '2019', '6', '15', '2', '0.0'
'2019', '6', '15', '9', '2019', '6', '15', '3', '0.0'
'2019', '6', '15', '10', '2019', '6', '15', '4', '0.0'
'2019', '6', '15', '11', '2019', '6', '15', '5', '0.1067'
'2019', '6', '15', '12', '2019', '6', '15', '6', '0.454'
'2019', '6', '15', '13', '2019', '6', '15', '7', '2.306'
'2019', '6', '15', '14', '2019', '6', '15', '8', '4.566'
'2019', '6', '15', '15', '2019', '6', '15', '9', '9.392'
'2019', '6', '15', '16', '2019', '6', '15', '10', '10.742'
'2019', '6', '15', '17', '2019', '6', '15', '11', '11.778'
'2019', '6', '15', '18', '2019', '6', '15', '12', '12.236'
'2019', '6', '15', '19', '2019', '6', '15', '13', '14.848'
'2019', '6', '15', '20', '2019', '6', '15', '14', '13.81'
'2019', '6', '15', '21', '2019', '6', '15', '15', '8.942'
'2019', '6', '15', '22', '2019', '6', '15', '16', '11.014'
'2019', '6', '15', '23', '2019', '6', '15', '17', '6.402'
'2019', '6', '16', '0', '2019', '6', '15', '18', '5.152'
'2019', '6', '16', '1', '2019', '6', '15', '19', '1.878'
'2019', '6', '16', '2', '2019', '6', '15', '20', '0.438'
'2019', '6', '16', '3', '2019', '6', '15', '21', '0.06'
'2019', '6', '16', '4', '2019', '6', '15', '22', '0.0'
'2019', '6', '16', '5', '2019', '6', '15', '23', '0.0'
'2019', '6', '16', '6', '2019', '6', '16', '0', '0.0'
'2019', '6', '16', '7', '2019', '6', '16', '1', '0.0'
'2019', '6', '16', '8', '2019', '6', '16', '2', '0.0'
'2019', '6', '16', '9', '2019', '6', '16', '3', '0.0'
'2019', '6', '16', '10', '2019', '6', '16', '4', '0.0'
'2019', '6', '16', '11', '2019', '6', '16', '5', '0.4217'
'2019', '6', '16', '12', '2019', '6', '16', '6', '0.714'
'2019', '6', '16', '13', '2019', '6', '16', '7', '2.144'
'2019', '6', '16', '14', '2019', '6', '16', '8', '5.558'
'2019', '6', '16', '15', '2019', '6', '16', '9', '8.928'
'2019', '6', '16', '16', '2019', '6', '16', '10', '11.518'
'2019', '6', '16', '17', '2019', '6', '16', '11', '13.14'
'2019', '6', '16', '18', '2019', '6', '16', '12', '14.286'
'2019', '6', '16', '19', '2019', '6', '16', '13', '12.476'
'2019', '6', '16', '20', '2019', '6', '16', '14', '13.024'
'2019', '6', '16', '21', '2019', '6', '16', '15', '10.452'
'2019', '6', '16', '22', '2019', '6', '16', '16', '10.604'
'2019', '6', '16', '23', '2019', '6', '16', '17', '6.312'
'2019', '6', '17', '0', '2019', '6', '16', '18', '5.104'
'2019', '6', '17', '1', '2019', '6', '16', '19', '1.888'
'2019', '6', '17', '2', '2019', '6', '16', '20', '0.414'
'2019', '6', '17', '3', '2019', '6', '16', '21', '0.0727'
