UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '10', '8', '2019', '1', '10', '1', '0.0'
'2019', '1', '10', '9', '2019', '1', '10', '2', '0.0'
'2019', '1', '10', '10', '2019', '1', '10', '3', '0.0'
'2019', '1', '10', '11', '2019', '1', '10', '4', '0.0'
'2019', '1', '10', '12', '2019', '1', '10', '5', '0.0'
'2019', '1', '10', '13', '2019', '1', '10', '6', '0.0'
'2019', '1', '10', '14', '2019', '1', '10', '7', '0.0'
'2019', '1', '10', '15', '2019', '1', '10', '8', '91.754347'
'2019', '1', '10', '16', '2019', '1', '10', '9', '26454.144564000002'
'2019', '1', '10', '17', '2019', '1', '10', '10', '70789.18961'
'2019', '1', '10', '18', '2019', '1', '10', '11', '50788.005697'
'2019', '1', '10', '19', '2019', '1', '10', '12', '42660.151375'
'2019', '1', '10', '20', '2019', '1', '10', '13', '35563.018234999996'
'2019', '1', '10', '21', '2019', '1', '10', '14', '43862.183219'
'2019', '1', '10', '22', '2019', '1', '10', '15', '20094.423437999998'
'2019', '1', '10', '23', '2019', '1', '10', '16', '5605.1348450000005'
'2019', '1', '11', '0', '2019', '1', '10', '17', '0.0'
'2019', '1', '11', '1', '2019', '1', '10', '18', '0.0'
'2019', '1', '11', '2', '2019', '1', '10', '19', '0.0'
'2019', '1', '11', '3', '2019', '1', '10', '20', '0.0'
'2019', '1', '11', '4', '2019', '1', '10', '21', '0.0'
'2019', '1', '11', '5', '2019', '1', '10', '22', '0.0'
'2019', '1', '11', '6', '2019', '1', '10', '23', '0.0'
'2019', '1', '11', '7', '2019', '1', '11', '0', '0.0'
'2019', '1', '11', '8', '2019', '1', '11', '1', '0.0'
'2019', '1', '11', '9', '2019', '1', '11', '2', '0.0'
'2019', '1', '11', '10', '2019', '1', '11', '3', '0.0'
'2019', '1', '11', '11', '2019', '1', '11', '4', '0.0'
'2019', '1', '11', '12', '2019', '1', '11', '5', '0.0'
'2019', '1', '11', '13', '2019', '1', '11', '6', '0.0'
'2019', '1', '11', '14', '2019', '1', '11', '7', '0.0'
'2019', '1', '11', '15', '2019', '1', '11', '8', '58.649465'
'2019', '1', '11', '16', '2019', '1', '11', '9', '13972.046419'
'2019', '1', '11', '17', '2019', '1', '11', '10', '19007.498532999998'
'2019', '1', '11', '18', '2019', '1', '11', '11', '50116.553927'
'2019', '1', '11', '19', '2019', '1', '11', '12', '37989.226032'
'2019', '1', '11', '20', '2019', '1', '11', '13', '39610.392517'
'2019', '1', '11', '21', '2019', '1', '11', '14', '58420.904938'
'2019', '1', '11', '22', '2019', '1', '11', '15', '26373.182156'
'2019', '1', '11', '23', '2019', '1', '11', '16', '5254.2230469999995'
'2019', '1', '12', '0', '2019', '1', '11', '17', '0.0'
'2019', '1', '12', '1', '2019', '1', '11', '18', '0.0'
'2019', '1', '12', '2', '2019', '1', '11', '19', '0.0'
'2019', '1', '12', '3', '2019', '1', '11', '20', '0.0'
'2019', '1', '12', '4', '2019', '1', '11', '21', '0.0'
'2019', '1', '12', '5', '2019', '1', '11', '22', '0.0'
'2019', '1', '12', '6', '2019', '1', '11', '23', '0.0'
'2019', '1', '12', '7', '2019', '1', '12', '0', '0.0'
'2019', '1', '12', '8', '2019', '1', '12', '1', '0.0'
'2019', '1', '12', '9', '2019', '1', '12', '2', '0.0'
'2019', '1', '12', '10', '2019', '1', '12', '3', '0.0'
'2019', '1', '12', '11', '2019', '1', '12', '4', '0.0'
'2019', '1', '12', '12', '2019', '1', '12', '5', '0.0'
'2019', '1', '12', '13', '2019', '1', '12', '6', '0.0'
'2019', '1', '12', '14', '2019', '1', '12', '7', '0.0'
'2019', '1', '12', '15', '2019', '1', '12', '8', '172.777297'
'2019', '1', '12', '16', '2019', '1', '12', '9', '17131.742665'
