UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '10', '17', '2019', '1', '10', '10', '82.56138585999999'
'2019', '1', '10', '18', '2019', '1', '10', '11', '60.47218819700001'
'2019', '1', '10', '19', '2019', '1', '10', '12', '45.500893375'
'2019', '1', '10', '20', '2019', '1', '10', '13', '40.78792673499999'
'2019', '1', '10', '21', '2019', '1', '10', '14', '55.080754969'
'2019', '1', '10', '22', '2019', '1', '10', '15', '21.381843688'
'2019', '1', '10', '23', '2019', '1', '10', '16', '5.646367211'
'2019', '1', '11', '0', '2019', '1', '10', '17', '0.0'
'2019', '1', '11', '1', '2019', '1', '10', '18', '0.0'
'2019', '1', '11', '2', '2019', '1', '10', '19', '0.0'
'2019', '1', '11', '3', '2019', '1', '10', '20', '0.0'
'2019', '1', '11', '4', '2019', '1', '10', '21', '0.0'
'2019', '1', '11', '5', '2019', '1', '10', '22', '0.0'
'2019', '1', '11', '6', '2019', '1', '10', '23', '0.0'
'2019', '1', '11', '7', '2019', '1', '11', '0', '0.0'
'2019', '1', '11', '8', '2019', '1', '11', '1', '0.0'
'2019', '1', '11', '9', '2019', '1', '11', '2', '0.0'
'2019', '1', '11', '10', '2019', '1', '11', '3', '0.0'
'2019', '1', '11', '11', '2019', '1', '11', '4', '0.0'
'2019', '1', '11', '12', '2019', '1', '11', '5', '0.0'
'2019', '1', '11', '13', '2019', '1', '11', '6', '0.0'
'2019', '1', '11', '14', '2019', '1', '11', '7', '0.0'
'2019', '1', '11', '15', '2019', '1', '11', '8', '0.058649465'
'2019', '1', '11', '16', '2019', '1', '11', '9', '14.777988888'
'2019', '1', '11', '17', '2019', '1', '11', '10', '19.642198236'
'2019', '1', '11', '18', '2019', '1', '11', '11', '51.493014271'
'2019', '1', '11', '19', '2019', '1', '11', '12', '39.955048095'
'2019', '1', '11', '20', '2019', '1', '11', '13', '46.224995516999996'
'2019', '1', '11', '21', '2019', '1', '11', '14', '58.891954267'
'2019', '1', '11', '22', '2019', '1', '11', '15', '33.528361906'
'2019', '1', '11', '23', '2019', '1', '11', '16', '5.665587501'
'2019', '1', '12', '0', '2019', '1', '11', '17', '0.0'
'2019', '1', '12', '1', '2019', '1', '11', '18', '0.0'
