UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '17', '5', '2019', '1', '16', '22', '0.0'
'2019', '1', '17', '6', '2019', '1', '16', '23', '0.0'
'2019', '1', '17', '7', '2019', '1', '17', '0', '0.0'
'2019', '1', '17', '8', '2019', '1', '17', '1', '0.0'
'2019', '1', '17', '9', '2019', '1', '17', '2', '0.0'
'2019', '1', '17', '10', '2019', '1', '17', '3', '0.0'
'2019', '1', '17', '11', '2019', '1', '17', '4', '0.0'
'2019', '1', '17', '12', '2019', '1', '17', '5', '0.0'
'2019', '1', '17', '13', '2019', '1', '17', '6', '0.0'
'2019', '1', '17', '14', '2019', '1', '17', '7', '0.0'
'2019', '1', '17', '15', '2019', '1', '17', '8', '0.0'
'2019', '1', '17', '16', '2019', '1', '17', '9', '115.574016'
'2019', '1', '17', '17', '2019', '1', '17', '10', '366.436594'
'2019', '1', '17', '18', '2019', '1', '17', '11', '120.565471'
'2019', '1', '17', '19', '2019', '1', '17', '12', '286.123578'
'2019', '1', '17', '20', '2019', '1', '17', '13', '255.71092899999996'
'2019', '1', '17', '21', '2019', '1', '17', '14', '174.834758'
'2019', '1', '17', '22', '2019', '1', '17', '15', '129.305238'
'2019', '1', '17', '23', '2019', '1', '17', '16', '56.767872'
'2019', '1', '18', '0', '2019', '1', '17', '17', '0.0'
'2019', '1', '18', '1', '2019', '1', '17', '18', '0.0'
'2019', '1', '18', '2', '2019', '1', '17', '19', '0.0'
'2019', '1', '18', '3', '2019', '1', '17', '20', '0.0'
'2019', '1', '18', '4', '2019', '1', '17', '21', '0.0'
'2019', '1', '18', '5', '2019', '1', '17', '22', '0.0'
'2019', '1', '18', '6', '2019', '1', '17', '23', '0.0'
'2019', '1', '18', '7', '2019', '1', '18', '0', '0.0'
'2019', '1', '18', '8', '2019', '1', '18', '1', '0.0'
'2019', '1', '18', '9', '2019', '1', '18', '2', '0.0'
'2019', '1', '18', '10', '2019', '1', '18', '3', '0.0'
'2019', '1', '18', '11', '2019', '1', '18', '4', '0.0'
'2019', '1', '18', '12', '2019', '1', '18', '5', '0.0'
'2019', '1', '18', '13', '2019', '1', '18', '6', '0.0'
'2019', '1', '18', '14', '2019', '1', '18', '7', '0.0'
'2019', '1', '18', '15', '2019', '1', '18', '8', '0.0'
'2019', '1', '18', '16', '2019', '1', '18', '9', '169.946416'
'2019', '1', '18', '17', '2019', '1', '18', '10', '132.896652'
'2019', '1', '18', '18', '2019', '1', '18', '11', '308.64631299999996'
'2019', '1', '18', '19', '2019', '1', '18', '12', '290.83224200000006'
'2019', '1', '18', '20', '2019', '1', '18', '13', '251.03526499999998'
'2019', '1', '18', '21', '2019', '1', '18', '14', '447.227641'
