UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '23', '10', '2019', '1', '23', '3', '0.0'
'2019', '1', '23', '11', '2019', '1', '23', '4', '0.0'
'2019', '1', '23', '12', '2019', '1', '23', '5', '0.0'
'2019', '1', '23', '13', '2019', '1', '23', '6', '0.0'
'2019', '1', '23', '14', '2019', '1', '23', '7', '0.0'
'2019', '1', '23', '15', '2019', '1', '23', '8', '0.0'
'2019', '1', '23', '16', '2019', '1', '23', '9', '0.030817967'
'2019', '1', '23', '17', '2019', '1', '23', '10', '0.209100453'
'2019', '1', '23', '18', '2019', '1', '23', '11', '0.241161645'
'2019', '1', '23', '19', '2019', '1', '23', '12', '0.23309369900000002'
'2019', '1', '23', '20', '2019', '1', '23', '13', '0.379073906'
'2019', '1', '23', '21', '2019', '1', '23', '14', '0.248831559'
'2019', '1', '23', '22', '2019', '1', '23', '15', '0.544675875'
'2019', '1', '23', '23', '2019', '1', '23', '16', '0.22362727300000002'
'2019', '1', '24', '0', '2019', '1', '23', '17', '0.0'
'2019', '1', '24', '1', '2019', '1', '23', '18', '0.0'
'2019', '1', '24', '2', '2019', '1', '23', '19', '0.0'
'2019', '1', '24', '3', '2019', '1', '23', '20', '0.0'
'2019', '1', '24', '4', '2019', '1', '23', '21', '0.0'
'2019', '1', '24', '5', '2019', '1', '23', '22', '0.0'
'2019', '1', '24', '6', '2019', '1', '23', '23', '0.0'
'2019', '1', '24', '7', '2019', '1', '24', '0', '0.0'
'2019', '1', '24', '8', '2019', '1', '24', '1', '0.0'
'2019', '1', '24', '9', '2019', '1', '24', '2', '0.0'
'2019', '1', '24', '10', '2019', '1', '24', '3', '0.0'
'2019', '1', '24', '11', '2019', '1', '24', '4', '0.0'
'2019', '1', '24', '12', '2019', '1', '24', '5', '0.0'
'2019', '1', '24', '13', '2019', '1', '24', '6', '0.0'
'2019', '1', '24', '14', '2019', '1', '24', '7', '0.0'
'2019', '1', '24', '15', '2019', '1', '24', '8', '0.0'
'2019', '1', '24', '16', '2019', '1', '24', '9', '0.025565393999999998'
'2019', '1', '24', '17', '2019', '1', '24', '10', '0.08659059399999999'
'2019', '1', '24', '18', '2019', '1', '24', '11', '0.174265008'
'2019', '1', '24', '19', '2019', '1', '24', '12', '0.14099859099999998'
'2019', '1', '24', '20', '2019', '1', '24', '13', '0.09745871299999999'
'2019', '1', '24', '21', '2019', '1', '24', '14', '0.201511188'
'2019', '1', '24', '22', '2019', '1', '24', '15', '0.024012699999999998'
'2019', '1', '24', '23', '2019', '1', '24', '16', '0.011790982'
'2019', '1', '25', '0', '2019', '1', '24', '17', '0.0'
'2019', '1', '25', '1', '2019', '1', '24', '18', '0.0'
'2019', '1', '25', '2', '2019', '1', '24', '19', '0.0'
'2019', '1', '25', '3', '2019', '1', '24', '20', '0.0'
'2019', '1', '25', '4', '2019', '1', '24', '21', '0.0'
'2019', '1', '25', '5', '2019', '1', '24', '22', '0.0'
'2019', '1', '25', '6', '2019', '1', '24', '23', '0.0'
'2019', '1', '25', '7', '2019', '1', '25', '0', '0.0'
'2019', '1', '25', '8', '2019', '1', '25', '1', '0.0'
'2019', '1', '25', '9', '2019', '1', '25', '2', '0.0'
'2019', '1', '25', '10', '2019', '1', '25', '3', '0.0'
'2019', '1', '25', '11', '2019', '1', '25', '4', '0.0'
'2019', '1', '25', '12', '2019', '1', '25', '5', '0.0'
'2019', '1', '25', '13', '2019', '1', '25', '6', '0.0'
'2019', '1', '25', '14', '2019', '1', '25', '7', '0.0'
'2019', '1', '25', '15', '2019', '1', '25', '8', '0.0'
'2019', '1', '25', '16', '2019', '1', '25', '9', '0.059790761'
'2019', '1', '25', '17', '2019', '1', '25', '10', '0.046967068'
'2019', '1', '25', '18', '2019', '1', '25', '11', '0.169575504'
'2019', '1', '25', '19', '2019', '1', '25', '12', '0.219354946'
'2019', '1', '25', '20', '2019', '1', '25', '13', '0.272643501'
'2019', '1', '25', '21', '2019', '1', '25', '14', '0.211301315'
'2019', '1', '25', '22', '2019', '1', '25', '15', '0.41051078100000005'
'2019', '1', '25', '23', '2019', '1', '25', '16', '0.14854691'
'2019', '1', '26', '0', '2019', '1', '25', '17', '0.0025134949999999997'
'2019', '1', '26', '1', '2019', '1', '25', '18', '0.0'
'2019', '1', '26', '2', '2019', '1', '25', '19', '0.0'
'2019', '1', '26', '3', '2019', '1', '25', '20', '0.0'
'2019', '1', '26', '4', '2019', '1', '25', '21', '0.0'
'2019', '1', '26', '5', '2019', '1', '25', '22', '0.0'
'2019', '1', '26', '6', '2019', '1', '25', '23', '0.0'
