UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '12', '9', '10', '2019', '12', '9', '5', '0.0'
'2019', '12', '9', '11', '2019', '12', '9', '6', '0.0'
'2019', '12', '9', '12', '2019', '12', '9', '7', '0.0'
'2019', '12', '9', '13', '2019', '12', '9', '8', '23672.299621'
'2019', '12', '9', '14', '2019', '12', '9', '9', '63144.467527'
'2019', '12', '9', '15', '2019', '12', '9', '10', '76815.66890699997'
'2019', '12', '9', '16', '2019', '12', '9', '11', '77947.23168699999'
'2019', '12', '9', '17', '2019', '12', '9', '12', '102672.84334300002'
'2019', '12', '9', '18', '2019', '12', '9', '13', '100324.26197700002'
'2019', '12', '9', '19', '2019', '12', '9', '14', '84060.06809500005'
'2019', '12', '9', '20', '2019', '12', '9', '15', '46920.70865500002'
'2019', '12', '9', '21', '2019', '12', '9', '16', '16693.4505'
'2019', '12', '9', '22', '2019', '12', '9', '17', '5639.093'
'2019', '12', '9', '23', '2019', '12', '9', '18', '0.0'
'2019', '12', '10', '0', '2019', '12', '9', '19', '0.0'
'2019', '12', '10', '1', '2019', '12', '9', '20', '0.0'
'2019', '12', '10', '2', '2019', '12', '9', '21', '0.0'
'2019', '12', '10', '3', '2019', '12', '9', '22', '0.0'
'2019', '12', '10', '4', '2019', '12', '9', '23', '0.0'
'2019', '12', '10', '5', '2019', '12', '10', '0', '0.0'
'2019', '12', '10', '6', '2019', '12', '10', '1', '0.0'
'2019', '12', '10', '7', '2019', '12', '10', '2', '0.0'
'2019', '12', '10', '8', '2019', '12', '10', '3', '0.0'
'2019', '12', '10', '9', '2019', '12', '10', '4', '0.0'
'2019', '12', '10', '10', '2019', '12', '10', '5', '0.0'
'2019', '12', '10', '11', '2019', '12', '10', '6', '0.0'
'2019', '12', '10', '12', '2019', '12', '10', '7', '187.15092199999998'
'2019', '12', '10', '13', '2019', '12', '10', '8', '40130.675486'
'2019', '12', '10', '14', '2019', '12', '10', '9', '102471.726283'
'2019', '12', '10', '15', '2019', '12', '10', '10', '119580.71897799999'
'2019', '12', '10', '16', '2019', '12', '10', '11', '117336.29506500004'
'2019', '12', '10', '17', '2019', '12', '10', '12', '110323.01276800003'
'2019', '12', '10', '18', '2019', '12', '10', '13', '132950.431634'
'2019', '12', '10', '19', '2019', '12', '10', '14', '136275.281456'
'2019', '12', '10', '20', '2019', '12', '10', '15', '85907.65065599998'
'2019', '12', '10', '21', '2019', '12', '10', '16', '9275.757844'
'2019', '12', '10', '22', '2019', '12', '10', '17', '2691.052252'
'2019', '12', '10', '23', '2019', '12', '10', '18', '0.0'
'2019', '12', '11', '0', '2019', '12', '10', '19', '0.0'
'2019', '12', '11', '1', '2019', '12', '10', '20', '0.0'
'2019', '12', '11', '2', '2019', '12', '10', '21', '0.0'
'2019', '12', '11', '3', '2019', '12', '10', '22', '0.0'
'2019', '12', '11', '4', '2019', '12', '10', '23', '0.0'
'2019', '12', '11', '5', '2019', '12', '11', '0', '0.0'
'2019', '12', '11', '6', '2019', '12', '11', '1', '0.0'
'2019', '12', '11', '7', '2019', '12', '11', '2', '0.0'
'2019', '12', '11', '8', '2019', '12', '11', '3', '0.0'
'2019', '12', '11', '9', '2019', '12', '11', '4', '0.0'
'2019', '12', '11', '10', '2019', '12', '11', '5', '0.0'
'2019', '12', '11', '11', '2019', '12', '11', '6', '0.0'
'2019', '12', '11', '12', '2019', '12', '11', '7', '190.301266'
'2019', '12', '11', '13', '2019', '12', '11', '8', '56106.95683099999'
'2019', '12', '11', '14', '2019', '12', '11', '9', '167718.77823399994'
'2019', '12', '11', '15', '2019', '12', '11', '10', '153055.13037600002'
'2019', '12', '11', '16', '2019', '12', '11', '11', '140189.399377'
'2019', '12', '11', '17', '2019', '12', '11', '12', '155385.89819'
'2019', '12', '11', '18', '2019', '12', '11', '13', '125569.76003300003'
'2019', '12', '11', '19', '2019', '12', '11', '14', '186271.58290799998'
'2019', '12', '11', '20', '2019', '12', '11', '15', '99921.72529599999'
'2019', '12', '11', '21', '2019', '12', '11', '16', '19923.789563'
'2019', '12', '11', '22', '2019', '12', '11', '17', '5202.2435'
'2019', '12', '11', '23', '2019', '12', '11', '18', '0.0'
'2019', '12', '12', '0', '2019', '12', '11', '19', '0.0'
'2019', '12', '12', '1', '2019', '12', '11', '20', '0.0'
'2019', '12', '12', '2', '2019', '12', '11', '21', '0.0'
'2019', '12', '12', '3', '2019', '12', '11', '22', '0.0'
'2019', '12', '12', '4', '2019', '12', '11', '23', '0.0'
'2019', '12', '12', '5', '2019', '12', '12', '0', '0.0'
'2019', '12', '12', '6', '2019', '12', '12', '1', '0.0'
'2019', '12', '12', '7', '2019', '12', '12', '2', '0.0'
'2019', '12', '12', '8', '2019', '12', '12', '3', '0.0'
'2019', '12', '12', '9', '2019', '12', '12', '4', '0.0'
'2019', '12', '12', '10', '2019', '12', '12', '5', '0.0'
'2019', '12', '12', '11', '2019', '12', '12', '6', '0.0'
'2019', '12', '12', '12', '2019', '12', '12', '7', '846.5708129999999'
'2019', '12', '12', '13', '2019', '12', '12', '8', '65916.493784'
'2019', '12', '12', '14', '2019', '12', '12', '9', '157308.027596'
'2019', '12', '12', '15', '2019', '12', '12', '10', '177469.08665600006'
'2019', '12', '12', '16', '2019', '12', '12', '11', '167886.661626'
'2019', '12', '12', '17', '2019', '12', '12', '12', '150076.477688'
'2019', '12', '12', '18', '2019', '12', '12', '13', '195077.95912499996'
'2019', '12', '12', '19', '2019', '12', '12', '14', '198919.69408000004'
'2019', '12', '12', '20', '2019', '12', '12', '15', '113394.156063'
'2019', '12', '12', '21', '2019', '12', '12', '16', '17749.651501'
'2019', '12', '12', '22', '2019', '12', '12', '17', '122.28854'
'2019', '12', '12', '23', '2019', '12', '12', '18', '0.0'
'2019', '12', '13', '0', '2019', '12', '12', '19', '0.0'
'2019', '12', '13', '1', '2019', '12', '12', '20', '0.0'
'2019', '12', '13', '2', '2019', '12', '12', '21', '0.0'
'2019', '12', '13', '3', '2019', '12', '12', '22', '0.0'
'2019', '12', '13', '4', '2019', '12', '12', '23', '0.0'
'2019', '12', '13', '5', '2019', '12', '13', '0', '0.0'
'2019', '12', '13', '6', '2019', '12', '13', '1', '0.0'
'2019', '12', '13', '7', '2019', '12', '13', '2', '0.0'
'2019', '12', '13', '8', '2019', '12', '13', '3', '0.0'
'2019', '12', '13', '9', '2019', '12', '13', '4', '0.0'
'2019', '12', '13', '10', '2019', '12', '13', '5', '0.0'
'2019', '12', '13', '11', '2019', '12', '13', '6', '0.0'
'2019', '12', '13', '12', '2019', '12', '13', '7', '109.181633'
'2019', '12', '13', '13', '2019', '12', '13', '8', '19470.013192000002'
'2019', '12', '13', '14', '2019', '12', '13', '9', '62729.44423399999'
'2019', '12', '13', '15', '2019', '12', '13', '10', '81397.053377'
'2019', '12', '13', '16', '2019', '12', '13', '11', '104528.88656300004'
'2019', '12', '13', '17', '2019', '12', '13', '12', '105548.96753099999'
'2019', '12', '13', '18', '2019', '12', '13', '13', '123294.87971999998'
'2019', '12', '13', '19', '2019', '12', '13', '14', '78038.83497000001'
'2019', '12', '13', '20', '2019', '12', '13', '15', '84915.62553599999'
'2019', '12', '13', '21', '2019', '12', '13', '16', '6552.644878'
'2019', '12', '13', '22', '2019', '12', '13', '17', '993.271124'
'2019', '12', '13', '23', '2019', '12', '13', '18', '0.0'
'2019', '12', '14', '0', '2019', '12', '13', '19', '0.0'
'2019', '12', '14', '1', '2019', '12', '13', '20', '0.0'
'2019', '12', '14', '2', '2019', '12', '13', '21', '0.0'
'2019', '12', '14', '3', '2019', '12', '13', '22', '0.0'
'2019', '12', '14', '4', '2019', '12', '13', '23', '0.0'
'2019', '12', '14', '5', '2019', '12', '14', '0', '0.0'
